@1462 :- Deafened(x), LightweightFoldable_Wheelchair(x)
@181 :- LowVision(x), Scoliosis(x)
@182 :- Blind(x), Spina_Bifida(x)
@183 :- LowVision(x), Spina_Bifida(x)
@184 :- Blind(x), Osteogensis_Imperfecta(x)
@185 :- LowVision(x), Osteogensis_Imperfecta(x)
@186 :- Blind(x), Achondroplasia(x)
@187 :- LowVision(x), Achondroplasia(x)
@1844 :- IntellectualDisability(x), LimbMobility(x)
@188 :- Blind(x), Poliomyelitis(x)
@1843 :- IntellectualDisability(x), Reach(x)
@189 :- Blind(x), Amputation(x)
@1842 :- IntellectualDisability(x), See_partially(x)
@1841 :- IntellectualDisability(x), See(x)
@1840 :- IntellectualDisability(x), Hear_partially(x)
@1849 :- Epilepsy(x), Reach(x)
@1848 :- Epilepsy(x), See_partially(x)
@1847 :- Epilepsy(x), See(x)
@1846 :- Epilepsy(x), Hear_partially(x)
@1845 :- Epilepsy(x), Hear(x)
@190 :- Blind(x), Paraplegia(x)
@191 :- Blind(x), Guillaume_Barre(x)
@192 :- Blind(x), Kyphosis(x)
@193 :- Blind(x), Muscular_dystrophy(x)
@194 :- Blind(x), Quadriplegia(x)
@195 :- Blind(x), Cerebral_palsy(x)
@196 :- Blind(x), Multiple_sclerosis(x)
@197 :- Blind(x), Hemiplegia(x)
@198 :- Blind(x), Dystonia(x)
@1855 :- Autism(x), Reach(x)
@199 :- LowVision(x), Poliomyelitis(x)
@1854 :- Autism(x), See_partially(x)
@1853 :- Autism(x), See(x)
@1852 :- Autism(x), Hear_partially(x)
@1851 :- Autism(x), Hear(x)
@1850 :- Epilepsy(x), LimbMobility(x)
@1859 :- Scoliosis(x), Hear(x)
@1858 :- Autism(x), LimbMobility(x)
@1857 :- MentalDisability(x), UpperLimbMobility(x)
@1856 :- MentalDisability(x), LowerLimbMobility(x)
@1866 :- Spina_Bifida(x), Hear_partially(x)
@1865 :- Spina_Bifida(x), Hear(x)
@1864 :- Scoliosis(x), LimbMobility(x)
@1863 :- Scoliosis(x), Reach(x)
@1862 :- Scoliosis(x), See_partially(x)
@1861 :- Scoliosis(x), See(x)
@1860 :- Scoliosis(x), Hear_partially(x)
@1869 :- Spina_Bifida(x), Reach(x)
@1868 :- Spina_Bifida(x), See_partially(x)
@1867 :- Spina_Bifida(x), See(x)
@1880 :- Achondroplasia(x), See_partially(x)
@1877 :- Achondroplasia(x), Hear(x)
@1876 :- Osteogensis_Imperfecta(x), LimbMobility(x)
@1875 :- Osteogensis_Imperfecta(x), Reach(x)
@1874 :- Osteogensis_Imperfecta(x), See_partially(x)
@1873 :- Osteogensis_Imperfecta(x), See(x)
@1872 :- Osteogensis_Imperfecta(x), Hear_partially(x)
@1871 :- Osteogensis_Imperfecta(x), Hear(x)
@1870 :- Spina_Bifida(x), LimbMobility(x)
@1879 :- Achondroplasia(x), See(x)
@1878 :- Achondroplasia(x), Hear_partially(x)
@1891 :- Amputation(x), See(x)
@1890 :- Amputation(x), Hear_partially(x)
@1404 :- Muscular_dystrophy(x), BrailleAlarmClock(x)
@1888 :- Poliomyelitis(x), LimbMobility(x)
@1403 :- Muscular_dystrophy(x), Talking_Thermometer(x)
@1887 :- Poliomyelitis(x), Reach(x)
@1402 :- Kyphosis(x), Foldable_Wheelchair(x)
@1886 :- Poliomyelitis(x), See_partially(x)
@1401 :- Kyphosis(x), Lightweight_Wheelchair(x)
@1885 :- Poliomyelitis(x), See(x)
@1400 :- Kyphosis(x), BatteryPowered_Wheelchair(x)
@1884 :- Poliomyelitis(x), Hear_partially(x)
@1883 :- Poliomyelitis(x), Hear(x)
@1882 :- Achondroplasia(x), LimbMobility(x)
@1881 :- Achondroplasia(x), Reach(x)
@1409 :- Muscular_dystrophy(x), Foldable_Wheelchair(x)
@1408 :- Muscular_dystrophy(x), Lightweight_Wheelchair(x)
@1407 :- Muscular_dystrophy(x), BatteryPowered_Wheelchair(x)
@1406 :- Muscular_dystrophy(x), BrailleWatch(x)
@1405 :- Muscular_dystrophy(x), BraillePillOrganiser(x)
@1889 :- Amputation(x), Hear(x)
@1415 :- Quadriplegia(x), BrailleAlarmClock(x)
@1899 :- Paraplegia(x), Reach(x)
@1414 :- Dystonia(x), Talking_Thermometer(x)
@1898 :- Paraplegia(x), See_partially(x)
@1413 :- Hemiplegia(x), Talking_Thermometer(x)
@1897 :- Paraplegia(x), See(x)
@1412 :- Multiple_sclerosis(x), Talking_Thermometer(x)
@1896 :- Paraplegia(x), Hear_partially(x)
@1411 :- Cerebral_palsy(x), Talking_Thermometer(x)
@1895 :- Paraplegia(x), Hear(x)
@1410 :- Quadriplegia(x), Talking_Thermometer(x)
@1894 :- Amputation(x), LimbMobility(x)
@1893 :- Amputation(x), Reach(x)
@1892 :- Amputation(x), See_partially(x)
@1419 :- Dystonia(x), BrailleAlarmClock(x)
@1418 :- Hemiplegia(x), BrailleAlarmClock(x)
@1417 :- Multiple_sclerosis(x), BrailleAlarmClock(x)
@1416 :- Cerebral_palsy(x), BrailleAlarmClock(x)
@1426 :- Cerebral_palsy(x), BrailleWatch(x)
@1425 :- Quadriplegia(x), BrailleWatch(x)
@1424 :- Dystonia(x), BraillePillOrganiser(x)
@1423 :- Hemiplegia(x), BraillePillOrganiser(x)
@1422 :- Multiple_sclerosis(x), BraillePillOrganiser(x)
@1421 :- Cerebral_palsy(x), BraillePillOrganiser(x)
@1420 :- Quadriplegia(x), BraillePillOrganiser(x)
@1429 :- Dystonia(x), BrailleWatch(x)
@1428 :- Hemiplegia(x), BrailleWatch(x)
@1427 :- Multiple_sclerosis(x), BrailleWatch(x)
@1440 :- Dystonia(x), BatteryPowered_Wheelchair(x)
@1437 :- Multiple_sclerosis(x), Lightweight_Wheelchair(x)
@1436 :- Multiple_sclerosis(x), BatteryPowered_Wheelchair(x)
@1435 :- Cerebral_palsy(x), Foldable_Wheelchair(x)
@1434 :- Cerebral_palsy(x), Lightweight_Wheelchair(x)
@1433 :- Cerebral_palsy(x), BatteryPowered_Wheelchair(x)
@1432 :- Quadriplegia(x), Foldable_Wheelchair(x)
@1431 :- Quadriplegia(x), Lightweight_Wheelchair(x)
@1430 :- Quadriplegia(x), BatteryPowered_Wheelchair(x)
@1439 :- Hemiplegia(x), BatteryPowered_Wheelchair(x)
@1438 :- Multiple_sclerosis(x), Foldable_Wheelchair(x)
@1451 :- Stuttering(x), BraillePillOrganiser(x)
@1450 :- Little_or_No_Speech(x), BraillePillOrganiser(x)
@1448 :- Little_or_No_Speech(x), BrailleAlarmClock(x)
@1447 :- Stuttering(x), Talking_Thermometer(x)
@1446 :- Little_or_No_Speech(x), Talking_Thermometer(x)
@1445 :- Dystonia(x), Foldable_Wheelchair(x)
@1444 :- Hemiplegia(x), Foldable_Wheelchair(x)
@1443 :- Dystonia(x), Lightweight_Wheelchair(x)
@1442 :- Hemiplegia(x), Lightweight_Wheelchair(x)
@1441 :- PhysicalDisability(x), LightweightFoldable_Wheelchair(x)
@1449 :- Stuttering(x), BrailleAlarmClock(x)
PhysicalAbility(iri) :- IRI("ns:ns", v0, iri), src_Dystonia_c0(u0, v0), src_BrailleWatch_c0(u1, v1), src_PhysicalAbility_c0(u2, v2), v0=v1, v1=v2
ListenDevice(iri) :- IRI("ns:ns", v0, iri), src_Hear_partially_c0(u0, v0), src_LowVision_c0(u1, v1), src_Talking_Thermometer_c0(u2, v2), src_ListenDevice_c0(u3, v3), v0=v1, v1=v2, v2=v3
MobilityDevice(iri) :- IRI("ns:ns", v0, iri), src_TactileReading_c0(u0, v0), src_MobilityDevice_c0(u1, v1), v0=v1, not(Communication_Device(iri))
Osteogensis_Imperfecta(iri) :- IRI("ns:ns", v0, iri), src_Ability_c0(u0, v0), src_Disability_c0(u1, v1), src_Osteogensis_Imperfecta_c0(u2, v2), v0=v1, v1=v2
requiresAbility(iri1, iri2) :- IRI("ns:ns", v0, iri1), IRI("ns:ns", v1, iri2), src_assistsWith_c0(u0, v0), src_assistsWith_c1(u0, v1), src_Manual_Wheelchair_c0(u1, v2), src_Deafened_c0(u2, v3), src_requiresAbility_c0(u3, v4), src_requiresAbility_c1(u3, v5), v0=v2, v2=v3, v3=v4, v1=v5
Poliomyelitis(iri) :- IRI("ns:ns", v0, iri), src_Talking_Thermometer_c0(u0, v0), src_Poliomyelitis_c0(u1, v1), v0=v1
Talking_Thermometer(iri) :- IRI("ns:ns", v0, iri), src_MentalDisability_c0(u0, v0), src_Device_c0(u1, v1), src_Quadriplegia_c0(u2, v2), src_TelephoneAid_c0(u3, v3), src_Talking_Thermometer_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
Motorised_Wheelchair(iri) :- IRI("ns:ns", v0, iri), src_SpeechDisability_c0(u0, v0), src_Motorised_Wheelchair_c0(u1, v1), v0=v1
Thing(iri) :- IRI("ns:ns", v0, iri), src_isAssistedBy_c0(u0, v0), src_Epilepsy_c0(u1, v1), src_Thing_c0(u2, v2), v0=v1, v1=v2
goal() :- Kyphosis(x0)
VisualDisability(iri) :- IRI("ns:ns", v0, iri), src_BrailleWritingDevice_c0(u0, v0), src_Amputation_c0(u1, v1), src_VisualDisability_c0(u2, v2), v0=v1, v1=v2, not(PhysicalDisability(iri)), not(SpeechDisability(iri))
BrailleWritingDevice(iri) :- IRI("ns:ns", v0, iri), src_LowVision_c0(u0, v0), src_WritingDevice_c0(u1, v1), src_Multiple_sclerosis_c0(u2, v2), src_Scoliosis_c0(u3, v3), src_BrailleWritingDevice_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
isAffectedBy(iri1, iri2) :- IRI("ns:ns", v0, iri1), IRI("ns:ns", v1, iri2), src_Achondroplasia_c0(u0, v0), src_isAffectedBy_c1(u4, v1), src_Ability_c0(u1, v2), src_Hear_partially_c0(u2, v3), src_Talking_Thermometer_c0(u3, v4), src_isAffectedBy_c0(u4, v5), v0=v2, v2=v3, v3=v4, v4=v5
SymbolBoard(iri) :- IRI("ns:ns", v0, iri), src_SensoryAbility_c0(u0, v0), src_Deafened_c0(u1, v1), src_Hear_c0(u2, v2), src_BraillePillOrganiser_c0(u3, v3), src_SymbolBoard_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
Hear(iri) :- IRI("ns:ns", v0, iri), src_Osteogensis_Imperfecta_c0(u0, v0), src_TactileAbility_c0(u1, v1), src_Manual_Wheelchair_c0(u2, v2), src_Hear_c0(u3, v3), v0=v1, v1=v2, v2=v3
BatteryPowered_Wheelchair(iri) :- IRI("ns:ns", v0, iri), src_Guillaume_Barre_c0(u0, v0), src_BatteryPowered_Wheelchair_c0(u1, v1), v0=v1
Foldable_Wheelchair(iri) :- IRI("ns:ns", v0, iri), src_BrailleAlarmClock_c0(u0, v0), src_Foldable_Wheelchair_c0(u1, v1), v0=v1
See(iri) :- IRI("ns:ns", v0, iri), src_SpeechDevice_c0(u0, v0), src_ReadingDevice_c0(u1, v1), src_SymbolBoard_c0(u2, v2), src_Communication_Device_c0(u3, v3), src_See_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
Wheelchair(iri) :- IRI("ns:ns", v0, iri), src_requiresAbility_c0(u0, v0), src_Kyphosis_c0(u1, v1), src_Wheelchair_c0(u2, v2), v0=v1, v1=v2
Muscular_dystrophy(iri) :- IRI("ns:ns", v0, iri), src_Hear_c0(u0, v0), src_Muscular_dystrophy_c0(u1, v1), v0=v1
SpeechDisability(iri) :- IRI("ns:ns", v0, iri), src_BrailleWritingDevice_c0(u0, v0), src_SpeechDisability_c0(u1, v1), v0=v1
MovementAbility(iri) :- IRI("ns:ns", v0, iri), src_Cerebral_palsy_c0(u0, v0), src_Epilepsy_c0(u1, v1), src_BatteryPowered_Wheelchair_c0(u2, v2), src_MovementAbility_c0(u3, v3), v0=v1, v1=v2, v2=v3
ReadingDevice(iri) :- IRI("ns:ns", v0, iri), src_WritingDevice_c0(u0, v0), src_Communication_Device_c0(u1, v1), src_Multiple_sclerosis_c0(u2, v2), src_ReadingDevice_c0(u3, v3), v0=v1, v1=v2, v2=v3
Guillaume_Barre(iri) :- IRI("ns:ns", v0, iri), src_PhysicalAbility_c0(u0, v0), src_Hear_partially_c0(u1, v1), src_Guillaume_Barre_c0(u2, v2), v0=v1, v1=v2
LowerLimbMobility(iri) :- IRI("ns:ns", v0, iri), src_LightweightFoldable_Wheelchair_c0(u0, v0), src_BatteryPowered_Wheelchair_c0(u1, v1), src_LowerLimbMobility_c0(u2, v2), v0=v1, v1=v2
TactileAbility(iri) :- IRI("ns:ns", v0, iri), src_BatteryPowered_Wheelchair_c0(u0, v0), src_LightweightFoldable_Wheelchair_c0(u1, v1), src_TelephoneAid_c0(u2, v2), src_TactileAbility_c0(u3, v3), v0=v1, v1=v2, v2=v3
BraillePillOrganiser(iri) :- IRI("ns:ns", v0, iri), src_Autism_c0(u0, v0), src_Wheelchair_c0(u1, v1), src_Stuttering_c0(u2, v2), src_MobilityDevice_c0(u3, v3), src_BraillePillOrganiser_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
SensoryAbility(iri) :- IRI("ns:ns", v0, iri), src_Hear_c0(u0, v0), src_PhysicalDisability_c0(u1, v1), src_Little_or_No_Speech_c0(u2, v2), src_Osteogensis_Imperfecta_c0(u3, v3), src_SensoryAbility_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4, not(PhysicalAbility(iri))
isAssistedBy(iri1, iri2) :- IRI("ns:ns", v0, iri1), IRI("ns:ns", v1, iri2), src_LowerLimbMobility_c0(u0, v0), src_isAssistedBy_c1(u3, v1), src_Dystonia_c0(u1, v2), src_SpeechDevice_c0(u2, v3), src_isAssistedBy_c0(u3, v4), v0=v2, v2=v3, v3=v4
HearingDisability(iri) :- IRI("ns:ns", v0, iri), src_SightAbility_c0(u0, v0), src_MentalDisability_c0(u1, v1), src_HearingDisability_c0(u2, v2), v0=v1, v1=v2, not(SpeechDisability(iri)), not(VisualDisability(iri)), not(PhysicalDisability(iri))
Achondroplasia(iri) :- IRI("ns:ns", v0, iri), src_SightAbility_c0(u0, v0), src_Autism_c0(u1, v1), src_LimbMobility_c0(u2, v2), src_Achondroplasia_c0(u3, v3), v0=v1, v1=v2, v2=v3
AssistiveDevice(iri) :- IRI("ns:ns", v0, iri), src_Spina_Bifida_c0(u0, v0), src_TalkingReading_c0(u1, v1), src_SightAbility_c0(u2, v2), src_AssistiveDevice_c0(u3, v3), v0=v1, v1=v2, v2=v3
Autism(iri) :- IRI("ns:ns", v0, iri), src_SensoryAbility_c0(u0, v0), src_BrailleWatch_c0(u1, v1), src_Autism_c0(u2, v2), v0=v1, v1=v2
HearingAbility(iri) :- IRI("ns:ns", v0, iri), src_Foldable_Wheelchair_c0(u0, v0), src_Amputation_c0(u1, v1), src_LightweightFoldable_Wheelchair_c0(u2, v2), src_HearingAbility_c0(u3, v3), v0=v1, v1=v2, v2=v3
Deafened(iri) :- IRI("ns:ns", v0, iri), src_PhysicalDisability_c0(u0, v0), src_See_c0(u1, v1), src_Deafened_c0(u2, v2), v0=v1, v1=v2
LimbMobility(iri) :- IRI("ns:ns", v0, iri), src_ListenDevice_c0(u0, v0), src_Little_or_No_Speech_c0(u1, v1), src_LimbMobility_c0(u2, v2), v0=v1, v1=v2
BrailleWatch(iri) :- IRI("ns:ns", v0, iri), src_MobilityDevice_c0(u0, v0), src_Kyphosis_c0(u1, v1), src_BatteryPowered_Wheelchair_c0(u2, v2), src_SpeechDisability_c0(u3, v3), src_BrailleWatch_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
Little_or_No_Speech(iri) :- IRI("ns:ns", v0, iri), src_BatteryPowered_Wheelchair_c0(u0, v0), src_See_partially_c0(u1, v1), src_Little_or_No_Speech_c0(u2, v2), v0=v1, v1=v2
Dystonia(iri) :- IRI("ns:ns", v0, iri), src_ReadingDevice_c0(u0, v0), src_requiresAbility_c0(u1, v1), src_Manual_Wheelchair_c0(u2, v2), src_TelephoneAid_c0(u3, v3), src_Dystonia_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
See_partially(iri) :- IRI("ns:ns", v0, iri), src_SightAbility_c0(u0, v0), src_TelephoneAid_c0(u1, v1), src_Talking_Thermometer_c0(u2, v2), src_Hemiplegia_c0(u3, v3), src_See_partially_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
PhysicalDisability(iri) :- IRI("ns:ns", v0, iri), src_Dystonia_c0(u0, v0), src_Paraplegia_c0(u1, v1), src_PhysicalDisability_c0(u2, v2), v0=v1, v1=v2
TelephoneAid(iri) :- IRI("ns:ns", v0, iri), src_Muscular_dystrophy_c0(u0, v0), src_Poliomyelitis_c0(u1, v1), src_Blind_c0(u2, v2), src_TelephoneAid_c0(u3, v3), v0=v1, v1=v2, v2=v3
LowVision(iri) :- IRI("ns:ns", v0, iri), src_MobilityDevice_c0(u0, v0), src_UpperLimbMobility_c0(u1, v1), src_LowVision_c0(u2, v2), v0=v1, v1=v2
assistsWith(iri1, iri2) :- IRI("ns:ns", v0, iri1), IRI("ns:ns", v1, iri2), src_VisualDisability_c0(u0, v0), src_assistsWith_c1(u2, v1), src_TalkingReading_c0(u1, v2), src_assistsWith_c0(u2, v3), v0=v2, v2=v3
Paraplegia(iri) :- IRI("ns:ns", v0, iri), src_FaceToFaceCommunicationDevice_c0(u0, v0), src_Little_or_No_Speech_c0(u1, v1), src_Paraplegia_c0(u2, v2), v0=v1, v1=v2
Scoliosis(iri) :- IRI("ns:ns", v0, iri), src_Amputation_c0(u0, v0), src_BrailleAlarmClock_c0(u1, v1), src_Blind_c0(u2, v2), src_Dystonia_c0(u3, v3), src_Scoliosis_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
Amputation(iri) :- IRI("ns:ns", v0, iri), src_SpeechDevice_c0(u0, v0), src_HearingDisability_c0(u1, v1), src_SymbolBoard_c0(u2, v2), src_Amputation_c0(u3, v3), v0=v1, v1=v2, v2=v3
SightAbility(iri) :- IRI("ns:ns", v0, iri), src_VisualDisability_c0(u0, v0), src_assistsWith_c0(u1, v1), src_Amputation_c0(u2, v2), src_Hear_partially_c0(u3, v3), src_SightAbility_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
Ability(iri) :- IRI("ns:ns", v0, iri), src_UpperLimbMobility_c0(u0, v0), src_isAssistedBy_c0(u1, v1), src_Kyphosis_c0(u2, v2), src_Ability_c0(u3, v3), v0=v1, v1=v2, v2=v3
IntellectualDisability(iri) :- IRI("ns:ns", v0, iri), src_SpeechDevice_c0(u0, v0), src_BatteryPowered_Wheelchair_c0(u1, v1), src_IntellectualDisability_c0(u2, v2), v0=v1, v1=v2
TalkingReading(iri) :- IRI("ns:ns", v0, iri), src_SymbolBoard_c0(u0, v0), src_Little_or_No_Speech_c0(u1, v1), src_Amputation_c0(u2, v2), src_TalkingReading_c0(u3, v3), v0=v1, v1=v2, v2=v3
FaceToFaceCommunicationDevice(iri) :- IRI("ns:ns", v0, iri), src_TelephoneAid_c0(u0, v0), src_HearingAbility_c0(u1, v1), src_affects_c0(u2, v2), src_PhysicalAbility_c0(u3, v3), src_FaceToFaceCommunicationDevice_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
Deaf(iri) :- IRI("ns:ns", v0, iri), src_Reach_c0(u0, v0), src_Hear_c0(u1, v1), src_PhysicalDisability_c0(u2, v2), src_Deaf_c0(u3, v3), v0=v1, v1=v2, v2=v3
Device(iri) :- IRI("ns:ns", v0, iri), src_See_c0(u0, v0), src_Ability_c0(u1, v1), src_Device_c0(u2, v2), v0=v1, v1=v2, not(Ability(iri))
Quadriplegia(iri) :- IRI("ns:ns", v0, iri), src_SightAbility_c0(u0, v0), src_Quadriplegia_c0(u1, v1), v0=v1
Manual_Wheelchair(iri) :- IRI("ns:ns", v0, iri), src_Hard_of_hearing_c0(u0, v0), src_Manual_Wheelchair_c0(u1, v1), v0=v1
Kyphosis(iri) :- IRI("ns:ns", v0, iri), src_Dystonia_c0(u0, v0), src_Hear_partially_c0(u1, v1), src_PhysicalAbility_c0(u2, v2), src_Kyphosis_c0(u3, v3), v0=v1, v1=v2, v2=v3
Stuttering(iri) :- IRI("ns:ns", v0, iri), src_Disability_c0(u0, v0), src_Device_c0(u1, v1), src_Scoliosis_c0(u2, v2), src_Stuttering_c0(u3, v3), v0=v1, v1=v2, v2=v3
Epilepsy(iri) :- IRI("ns:ns", v0, iri), src_LowerLimbMobility_c0(u0, v0), src_Motorised_Wheelchair_c0(u1, v1), src_Epilepsy_c0(u2, v2), v0=v1, v1=v2
Lightweight_Wheelchair(iri) :- IRI("ns:ns", v0, iri), src_LimbMobility_c0(u0, v0), src_Stuttering_c0(u1, v1), src_Dystonia_c0(u2, v2), src_VisualDisability_c0(u3, v3), src_Lightweight_Wheelchair_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
SpeechAbility(iri) :- IRI("ns:ns", v0, iri), src_Cerebral_palsy_c0(u0, v0), src_SightAbility_c0(u1, v1), src_See_c0(u2, v2), src_Spina_Bifida_c0(u3, v3), src_SpeechAbility_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4, not(PhysicalAbility(iri)), not(SensoryAbility(iri))
WritingDevice(iri) :- IRI("ns:ns", v0, iri), src_TactileAbility_c0(u0, v0), src_WritingDevice_c0(u1, v1), v0=v1
Disability(iri) :- IRI("ns:ns", v0, iri), src_Poliomyelitis_c0(u0, v0), src_Stuttering_c0(u1, v1), src_LightweightFoldable_Wheelchair_c0(u2, v2), src_Disability_c0(u3, v3), v0=v1, v1=v2, v2=v3, not(Device(iri))
Hemiplegia(iri) :- IRI("ns:ns", v0, iri), src_See_c0(u0, v0), src_Ability_c0(u1, v1), src_AssistiveDevice_c0(u2, v2), src_VisualDisability_c0(u3, v3), src_Hemiplegia_c0(u4, v4), v0=v1, v1=v2, v2=v3, v3=v4
LightweightFoldable_Wheelchair(iri) :- IRI("ns:ns", v0, iri), src_BrailleAlarmClock_c0(u0, v0), src_LightweightFoldable_Wheelchair_c0(u1, v1), v0=v1
Spina_Bifida(iri) :- IRI("ns:ns", v0, iri), src_Foldable_Wheelchair_c0(u0, v0), src_Spina_Bifida_c0(u1, v1), v0=v1
Communication_Device(iri) :- IRI("ns:ns", v0, iri), src_Blind_c0(u0, v0), src_TactileReading_c0(u1, v1), src_Spina_Bifida_c0(u2, v2), src_Communication_Device_c0(u3, v3), v0=v1, v1=v2, v2=v3
Reach(iri) :- IRI("ns:ns", v0, iri), src_PhysicalDisability_c0(u0, v0), src_UpperLimbMobility_c0(u1, v1), src_LowerLimbMobility_c0(u2, v2), src_Reach_c0(u3, v3), v0=v1, v1=v2, v2=v3
Blind(iri) :- IRI("ns:ns", v0, iri), src_SymbolBoard_c0(u0, v0), src_Foldable_Wheelchair_c0(u1, v1), src_ReadingDevice_c0(u2, v2), src_Blind_c0(u3, v3), v0=v1, v1=v2, v2=v3
Cerebral_palsy(iri) :- IRI("ns:ns", v0, iri), src_BrailleWritingDevice_c0(u0, v0), src_Deaf_c0(u1, v1), src_Cerebral_palsy_c0(u2, v2), v0=v1, v1=v2
BrailleAlarmClock(iri) :- IRI("ns:ns", v0, iri), src_Kyphosis_c0(u0, v0), src_BrailleAlarmClock_c0(u1, v1), v0=v1
affects(iri1, iri2) :- IRI("ns:ns", v0, iri1), IRI("ns:ns", v1, iri2), src_FaceToFaceCommunicationDevice_c0(u0, v0), src_affects_c1(u1, v1), src_affects_c0(u1, v2), v0=v2
UpperLimbMobility(iri) :- IRI("ns:ns", v0, iri), src_Lightweight_Wheelchair_c0(u0, v0), src_See_partially_c0(u1, v1), src_UpperLimbMobility_c0(u2, v2), v0=v1, v1=v2
FaceToFaceCommunicationSoftware(iri) :- IRI("ns:ns", v0, iri), src_MovementAbility_c0(u0, v0), src_FaceToFaceCommunicationSoftware_c0(u1, v1), v0=v1
Multiple_sclerosis(iri) :- IRI("ns:ns", v0, iri), src_Thing_c0(u0, v0), src_Multiple_sclerosis_c0(u1, v1), v0=v1
Hard_of_hearing(iri) :- IRI("ns:ns", v0, iri), src_FaceToFaceCommunicationDevice_c0(u0, v0), src_Guillaume_Barre_c0(u1, v1), src_affects_c0(u2, v2), src_isAffectedBy_c0(u3, v3), src_Hard_of_hearing_c0(u4, v4), src_affects_c1(u2, v5), src_isAffectedBy_c1(u3, v6), v0=v1, v1=v2, v2=v3, v3=v4, v5=v6
SpeechDevice(iri) :- IRI("ns:ns", v0, iri), src_LowVision_c0(u0, v0), src_SpeechDevice_c0(u1, v1), v0=v1
MentalDisability(iri) :- IRI("ns:ns", v0, iri), src_Lightweight_Wheelchair_c0(u0, v0), src_TactileReading_c0(u1, v1), src_MentalDisability_c0(u2, v2), v0=v1, v1=v2, not(PhysicalDisability(iri)), not(HearingDisability(iri))
Hear_partially(iri) :- IRI("ns:ns", v0, iri), src_Little_or_No_Speech_c0(u0, v0), src_Poliomyelitis_c0(u1, v1), src_FaceToFaceCommunicationSoftware_c0(u2, v2), src_Hear_partially_c0(u3, v3), v0=v1, v1=v2, v2=v3
TactileReading(iri) :- IRI("ns:ns", v0, iri), src_Paraplegia_c0(u0, v0), src_TactileReading_c0(u1, v1), v0=v1
